schema_name,table_name,trigger_name,trigger_definition,function_called
auth,users,on_auth_user_created,CREATE TRIGGER on_auth_user_created AFTER INSERT ON auth.users FOR EACH ROW EXECUTE FUNCTION handle_new_auth_user(),public.handle_new_auth_user
auth,users,on_auth_user_updated,"CREATE TRIGGER on_auth_user_updated AFTER UPDATE OF email, raw_user_meta_data ON auth.users FOR EACH ROW EXECUTE FUNCTION handle_updated_auth_user()",public.handle_updated_auth_user
public,contacts,contacts_set_updated_at,CREATE TRIGGER contacts_set_updated_at BEFORE UPDATE ON contacts FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,conversation_user_state,conversation_user_state_set_updated_at,CREATE TRIGGER conversation_user_state_set_updated_at BEFORE UPDATE ON conversation_user_state FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,conversations,conversations_prepare_record,CREATE TRIGGER conversations_prepare_record BEFORE INSERT OR UPDATE ON conversations FOR EACH ROW EXECUTE FUNCTION private.prepare_conversation_record(),private.prepare_conversation_record
public,conversations,conversations_record_assignment_change,CREATE TRIGGER conversations_record_assignment_change AFTER UPDATE OF assigned_to ON conversations FOR EACH ROW EXECUTE FUNCTION private.record_conversation_assignment(),private.record_conversation_assignment
public,conversations,conversations_record_initial_assignment,CREATE TRIGGER conversations_record_initial_assignment AFTER INSERT ON conversations FOR EACH ROW EXECUTE FUNCTION private.record_conversation_assignment(),private.record_conversation_assignment
public,conversations,conversations_set_updated_at,CREATE TRIGGER conversations_set_updated_at BEFORE UPDATE ON conversations FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,conversations,conversations_validate_write,CREATE TRIGGER conversations_validate_write BEFORE INSERT OR UPDATE ON conversations FOR EACH ROW EXECUTE FUNCTION private.validate_conversation_write(),private.validate_conversation_write
public,custom_field_options,custom_field_options_set_updated_at,CREATE TRIGGER custom_field_options_set_updated_at BEFORE UPDATE ON custom_field_options FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,custom_field_options,custom_field_options_validate,CREATE TRIGGER custom_field_options_validate BEFORE INSERT OR UPDATE ON custom_field_options FOR EACH ROW EXECUTE FUNCTION private.validate_custom_field_option(),private.validate_custom_field_option
public,custom_fields,custom_fields_prepare_record,CREATE TRIGGER custom_fields_prepare_record BEFORE INSERT OR UPDATE ON custom_fields FOR EACH ROW EXECUTE FUNCTION private.prepare_custom_field_record(),private.prepare_custom_field_record
public,custom_fields,custom_fields_set_updated_at,CREATE TRIGGER custom_fields_set_updated_at BEFORE UPDATE ON custom_fields FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,lead_custom_values,lead_custom_values_set_updated_at,CREATE TRIGGER lead_custom_values_set_updated_at BEFORE UPDATE ON lead_custom_values FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,lead_custom_values,lead_custom_values_validate,CREATE TRIGGER lead_custom_values_validate BEFORE INSERT OR UPDATE ON lead_custom_values FOR EACH ROW EXECUTE FUNCTION private.validate_lead_custom_value(),private.validate_lead_custom_value
public,lead_shares,lead_shares_set_updated_at,CREATE TRIGGER lead_shares_set_updated_at BEFORE UPDATE ON lead_shares FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,lead_sources,lead_sources_set_updated_at,CREATE TRIGGER lead_sources_set_updated_at BEFORE UPDATE ON lead_sources FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
