schema_name,table_name,constraint_name,constraint_type,definition
public,task_activity_history,task_activity_history_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,task_reminders,task_reminders_channel_check,CHECK,"CHECK (channel = ANY (ARRAY['in_app'::text, 'email'::text, 'whatsapp'::text, 'push'::text]))"
public,task_reminders,task_reminders_status_check,CHECK,"CHECK (status = ANY (ARRAY['pending'::text, 'processing'::text, 'sent'::text, 'cancelled'::text, 'failed'::text]))"
public,task_reminders,task_reminders_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
public,task_reminders,task_reminders_member_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, user_id) REFERENCES organization_members(organization_id, user_id) ON DELETE CASCADE"
public,task_reminders,task_reminders_task_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, task_id) REFERENCES tasks(organization_id, id) ON DELETE CASCADE"
public,task_reminders,task_reminders_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,task_reminders,task_reminders_unique,UNIQUE,"UNIQUE (task_id, user_id, channel, remind_at)"
public,tasks,tasks_metadata_check,CHECK,CHECK (jsonb_typeof(metadata) = 'object'::text)
public,tasks,tasks_priority_check,CHECK,"CHECK (priority = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text, 'urgent'::text]))"
public,tasks,tasks_status_check,CHECK,"CHECK (status = ANY (ARRAY['pending'::text, 'in_progress'::text, 'completed'::text, 'cancelled'::text]))"
public,tasks,tasks_task_type_check,CHECK,"CHECK (task_type = ANY (ARRAY['call'::text, 'whatsapp'::text, 'visit'::text, 'meeting'::text, 'proposal'::text, 'follow_up'::text, 'internal'::text, 'other'::text]))"
public,tasks,tasks_title_check,CHECK,CHECK (char_length(TRIM(BOTH FROM title)) >= 2 AND char_length(TRIM(BOTH FROM title)) <= 180)
public,tasks,tasks_valid_period,CHECK,CHECK (due_at >= starts_at)
public,tasks,tasks_assigned_member,FOREIGN KEY,"FOREIGN KEY (organization_id, assigned_to) REFERENCES organization_members(organization_id, user_id) ON DELETE RESTRICT"
public,tasks,tasks_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
public,tasks,tasks_lead_same_organization,FOREIGN KEY,"FOREIGN KEY (organization_id, lead_id) REFERENCES leads(organization_id, id) ON DELETE CASCADE"
public,tasks,tasks_updated_by_fkey,FOREIGN KEY,FOREIGN KEY (updated_by) REFERENCES profiles(id) ON DELETE SET NULL
public,tasks,tasks_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,tasks,tasks_organization_id_id_unique,UNIQUE,"UNIQUE (organization_id, id)"
