schema_name,function_name,arguments,definition
private,can_assign_conversation,target_conversation_id uuid,"CREATE OR REPLACE FUNCTION private.can_assign_conversation(target_conversation_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.conversations as conversation

    where conversation.id =
          target_conversation_id

      and private.can_view_conversation(
        conversation.id
      )

      and private.has_permission(
        conversation.organization_id,
        'conversations.assign'
      )

      and (
        conversation.assigned_to =
          (select auth.uid())

        or private.has_permission(
          conversation.organization_id,
          'conversations.read_all'
        )

        or (
          conversation.assigned_to is null

          and private.has_permission(
            conversation.organization_id,
            'conversations.read_unassigned'
          )
        )
      )
  );
$function$
"
private,can_delete_task,target_task_id uuid,"CREATE OR REPLACE FUNCTION private.can_delete_task(target_task_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.tasks as task
    where task.id = target_task_id
      and (
        private.has_permission(
          task.organization_id,
          'tasks.delete_all'
        )

        or (
          private.has_permission(
            task.organization_id,
            'tasks.delete_own'
          )

          and (
            task.assigned_to = (select auth.uid())
            or task.created_by = (select auth.uid())
          )
        )
      )
  );
$function$
"
private,can_edit_lead,target_lead_id uuid,"CREATE OR REPLACE FUNCTION private.can_edit_lead(target_lead_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.leads as lead

    where lead.id = target_lead_id

      and private.can_operate_pipeline_stage(
        lead.stage_id
      )

      and (
        private.has_permission(
          lead.organization_id,
          'leads.update_all'
        )

        or (
          private.has_permission(
            lead.organization_id,
            'leads.update_assigned'
          )

          and (
            private.is_current_user_linked_to_lead(
              lead.id,
              true
            )

            or (
              lead.assigned_to is null

              and private.has_permission(
                lead.organization_id,
                'leads.read_unassigned'
              )
            )
          )
        )
      )
  );
$function$
"
private,can_edit_task,target_task_id uuid,"CREATE OR REPLACE FUNCTION private.can_edit_task(target_task_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.tasks as task
    where task.id = target_task_id
      and (
        private.has_permission(
          task.organization_id,
          'tasks.update_all'
        )

        or (
          private.has_permission(
            task.organization_id,
            'tasks.update_own'
          )

          and (
            task.assigned_to = (select auth.uid())
            or task.created_by = (select auth.uid())
          )
        )
      )
  );
$function$
"
private,can_manage_custom_field,target_field_id uuid,"CREATE OR REPLACE FUNCTION private.can_manage_custom_field(target_field_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.custom_fields as field
    where field.id = target_field_id

      and private.has_permission(
        field.organization_id,
        'custom_fields.manage'
      )
  );
$function$
"
private,can_manage_pipeline,target_pipeline_id uuid,"CREATE OR REPLACE FUNCTION private.can_manage_pipeline(target_pipeline_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.pipelines as pipeline
    where pipeline.id = target_pipeline_id
      and private.has_permission(
        pipeline.organization_id,
        'pipelines.manage'
      )
  );
$function$
"
private,can_operate_pipeline,target_pipeline_id uuid,"CREATE OR REPLACE FUNCTION private.can_operate_pipeline(target_pipeline_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.pipelines as pipeline
    where pipeline.id = target_pipeline_id
      and (
        private.has_permission(
          pipeline.organization_id,
          'pipelines.manage'
        )

        or (
          pipeline.status = 'active'
          and exists (
            select 1
            from public.pipeline_user_access as access
            where access.pipeline_id = pipeline.id
              and access.organization_id =
                  pipeline.organization_id
              and access.user_id = (select auth.uid())
              and access.access_level in (
                'operate',
                'manage'
              )
          )
        )
      )
  );
$function$
"
private,can_operate_pipeline_stage,target_stage_id uuid,"CREATE OR REPLACE FUNCTION private.can_operate_pipeline_stage(target_stage_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.pipeline_stages as stage
    where stage.id = target_stage_id
      and (
        private.has_permission(
          stage.organization_id,
          'pipelines.manage'
        )

        or exists (
          select 1
          from public.pipeline_user_access as pipeline_access
          where pipeline_access.pipeline_id =
                stage.pipeline_id
            and pipeline_access.user_id =
                (select auth.uid())
            and pipeline_access.access_level in (
              'operate',
              'manage'
            )
            and (
              pipeline_access.stage_scope = 'all'

              or exists (
                select 1
                from public.pipeline_stage_user_access
                  as stage_access
                where stage_access.stage_id = stage.id
                  and stage_access.pipeline_id =
                      stage.pipeline_id
                  and stage_access.user_id =
                      (select auth.uid())
                  and stage_access.access_level = 'operate'
              )
            )
        )
      )
  );
$function$
"
private,can_read_crm_whatsapp_media,p_object_name text,"CREATE OR REPLACE FUNCTION private.can_read_crm_whatsapp_media(p_object_name text)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.messages as message
    where message.media_storage_path =
          p_object_name
      and private.can_view_conversation(
            message.conversation_id
          )
  );
$function$
"
private,can_reply_conversation,target_conversation_id uuid,"CREATE OR REPLACE FUNCTION private.can_reply_conversation(target_conversation_id uuid)
 RETURNS boolean
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select exists (
    select 1
    from public.conversations as conversation

    where conversation.id =
          target_conversation_id

      and private.can_view_conversation(
        conversation.id
      )

      and private.has_permission(
        conversation.organization_id,
        'conversations.reply'
      )

      and (
        conversation.assigned_to =
          (select auth.uid())

        or private.has_permission(
          conversation.organization_id,
          'conversations.read_all'
        )

        or (
          conversation.assigned_to is null

          and private.has_permission(
            conversation.organization_id,
            'conversations.read_unassigned'
          )
        )
      )
  );
$function$
"
